time,battery,totalGenerated,spareModules,totalDirt,totalModules
0,1000000000,0,0,0,0
60.03429,1000000000,8.06505179405212,0,0,0
122.0127,1000000000,9.82233643531799,0,0,0
181.0502,1000000000,12.1287101507187,0,0,0
240.7991,1000000000,14.322648525238,0,0,0
300.4787,1000000000,16.5856854915619,0,0,0
360.8748,999999999.907222,18.5489940643311,0,0,0
420.032,999999999.878578,22.2748852968216,0,0,0
480.5548,999999999.931106,25.1274745464325,0,0,0
542.4416,999999999.751582,27.7962654829025,0,0,0
600.0646,1000000000,30.5369337797165,0,0,0
661.1786,1000000000,32.8033993244171,0,0,0
720.688,999999999.916091,34.8119734525681,0,0,0
781.7057,999096615.556999,428318.044752359,0.739814223878554,500,0.739814223878554
840.6636,998686477.073459,1017896.65481496,1.51999998375773,500,1.51999998375773
900.934,999289178.13134,1620600.60998845,1.51999998375773,500,1.51999998375773
960.0792,999880628.209957,2212052.86344934,1.51999998375773,500,1.51999998375773
1020.024,1000000000,2331427.62161458,1.51999998375773,500,1.51999998375773
1081.499,1000000000,2331430.28375506,1.51999998375773,500,1.51999998375773
1140.97,1000000000,2331433.20292521,1.51999998375773,500,1.51999998375773
1200.524,1000000000,2331436.17033911,1.51999998375773,500,1.51999998375773
1260.835,999999999.873036,2331438.01710677,1.51999998375773,500,1.51999998375773
1320.207,1000000000,2331439.21053827,1.51999998375773,500,1.51999998375773
1381.372,1000000000,2331441.85100567,1.51999998375773,500,1.51999998375773
1440.909,1000000000,2331444.02217162,1.51999998375773,500,1.51999998375773
1500.14,999999999.836519,2331446.17697656,1.51999998375773,500,1.51999998375773
1560.142,1000000000,2331447.6396656,1.51999998375773,500,1.51999998375773
1620.188,999999999.871857,2331449.50030112,1.51999998375773,500,1.51999998375773
1680.179,999999999.925996,2331451.92720473,1.51999998375773,500,1.51999998375773
1740.946,1000000000,2331453.96887004,1.51999998375773,500,1.51999998375773
1800.588,1000000000,2331455.9462769,1.51999998375773,500,1.51999998375773
1860.223,999999999.871115,2331458.16460872,1.51999998375773,500,1.51999998375773
1920.601,1000000000,2331460.33018208,1.51999998375773,500,1.51999998375773
1981.206,999128628.673598,2744985.93652654,2.23383001213233,1000,2.23383001213233
2041.13,998669909.486151,3344220.24512696,3.03999996751547,1000,3.03999996751547
2100.556,999264166.826419,3938479.64668679,3.03999996751547,1000,3.03999996751547
2160.863,999867241.469277,4541556.69117379,3.03999996751547,1000,3.03999996751547
2220.099,1000000000,4674317.47054768,3.03999996751547,1000,3.03999996751547
2280.556,1000000000,4674319.70675874,3.03999996751547,1000,3.03999996751547
2340.085,999999999.874257,4674322.02642179,3.03999996751547,1000,3.03999996751547
2401.134,1000000000,4674324.59966695,3.03999996751547,1000,3.03999996751547
2460.821,1000000000,4674326.89782,3.03999996751547,1000,3.03999996751547
2520.431,999999999.880442,4674328.98248136,3.03999996751547,1000,3.03999996751547
2580.065,999999999.860298,4674331.23823202,3.03999996751547,1000,3.03999996751547
2640.284,1000000000,4674333.53359818,3.03999996751547,1000,3.03999996751547
2700.179,1000000000,4674336.09243286,3.03999996751547,1000,3.03999996751547
2761.145,1000000000,4674337.69469154,3.03999996751547,1000,3.03999996751547
2820.308,1000000000,4674339.51820636,3.03999996751547,1000,3.03999996751547
2880.093,1000000000,4674341.99383295,3.03999996751547,1000,3.03999996751547
2942.698,999999999.711929,4674344.05724823,3.03999996751547,1000,3.03999996751547
3000.373,999999999.886019,4674346.49722278,3.03999996751547,1000,3.03999996751547
3061.522,1000000000,4674348.60653007,3.03999996751547,1000,3.03999996751547
3120.564,999999999.898088,4674351.09568775,3.03999996751547,1000,3.03999996751547
3181.167,999020472.745809,5143063.22945714,3.84457599750314,1500,3.84457599750314
3240.292,998721903.23134,5734308.51353765,4.5599999512732,1500,4.5599999512732
3300.523,999324214.560039,6336622.07557321,4.5599999512732,1500,4.5599999512732
3361.281,999931787.727818,6944198.31945062,4.5599999512732,1500,4.5599999512732
3420.482,999999999.864212,7012412.59113431,4.5599999512732,1500,4.5599999512732
3481.276,1000000000,7012415.26506841,4.5599999512732,1500,4.5599999512732
3540.328,999999999.879089,7012417.97173405,4.5599999512732,1500,4.5599999512732
3600.541,999999999.918003,7012420.4289372,4.5599999512732,1500,4.5599999512732
3660.826,999999999.867317,7012423.97046125,4.5599999512732,1500,4.5599999512732
3720.341,999999999.885932,7012426.81985617,4.5599999512732,1500,4.5599999512732
3780.426,999999999.867757,7012428.74219561,4.5599999512732,1500,4.5599999512732
3840.588,1000000000,7012431.51759529,4.5599999512732,1500,4.5599999512732
3900.644,999999999.928367,7012433.84136248,4.5599999512732,1500,4.5599999512732
3960.534,1000000000,7012436.40989327,4.5599999512732,1500,4.5599999512732
4020.84,999999999.867499,7012438.80316603,4.5599999512732,1500,4.5599999512732
4080.927,1000000000,7012441.46839845,4.5599999512732,1500,4.5599999512732
4140.846,1000000000,7012443.69871068,4.5599999512732,1500,4.5599999512732
4200.455,1000000000,7012445.46325982,4.5599999512732,1500,4.5599999512732
4260.896,1000000000,7012447.51961994,4.5599999512732,1500,4.5599999512732
4320.562,1000000000,7012449.61484325,4.5599999512732,1500,4.5599999512732
4380.139,999048760.820167,7475446.92030621,5.34568540523557,2000,5.34568540523557
4440.329,998692535.152185,8077341.54930782,0.0799999350309384,2000,6.07999993503094
4500.857,999297818.902075,8682627.885849,0.0799999350309384,2000,6.07999993503094
4561.586,999905102.683546,9289913.69536591,0.0799999350309384,2000,6.07999993503094
4620.075,1000000000,9384812.8498522,0.0799999350309384,2000,6.07999993503094
4681.299,999999999.790302,9384814.54171777,0.0799999350309384,2000,6.07999993503094
4740.505,999999999.794233,9384817.38217175,0.0799999350309384,2000,6.07999993503094
4800.206,1000000000,9384819.49843371,0.0799999350309384,2000,6.07999993503094
4861.646,1000000000,9384821.17949748,0.0799999350309384,2000,6.07999993503094
4920.991,1000000000,9384823.33351624,0.0799999350309384,2000,6.07999993503094
4980.042,1000000000,9384825.66917241,0.0799999350309384,2000,6.07999993503094
5042.427,999999999.741949,9384826.70129359,0.0799999350309384,2000,6.07999993503094
5100.85,999999999.70123,9384829.3659265,0.0799999350309384,2000,6.07999993503094
5160.348,1000000000,9384831.17047918,0.0799999350309384,2000,6.07999993503094
5220.218,999999999.906608,9384832.6869148,0.0799999350309384,2000,6.07999993503094
5280.552,1000000000,9384834.28282416,0.0799999350309384,2000,6.07999993503094
5341.065,1000000000,9384836.05820143,0.0799999350309384,2000,6.07999993503094
5400.973,1000000000,9384838.52730596,0.0799999350309384,2000,6.07999993503094
5461.161,1000000000,9384839.71485543,0.0799999350309384,2000,6.07999993503094
5522.253,1000000000,9384841.31365919,0.0799999350309384,2000,6.07999993503094
5580.063,999189602.085864,9770089.95317209,0.744246779472647,2500,6.74424677947265
5640.508,998634450.0368,10374537.7721666,1.59999991878867,2500,7.59999991878867
5700.599,999235356.000838,10975445.1920866,1.59999991878867,2500,7.59999991878867
5760.806,999837422.313937,11577513.559091,1.59999991878867,2500,7.59999991878867
5821.046,999999999.857949,11740093.3572985,1.59999991878867,2500,7.59999991878867
5880.722,999999999.89572,11740095.1536169,1.59999991878867,2500,7.59999991878867
5940.568,999999999.833431,11740097.8088204,1.59999991878867,2500,7.59999991878867
6001.319,1000000000,11740100.2590321,1.59999991878867,2500,7.59999991878867
6064.291,1000000000,11740101.9714032,1.59999991878867,2500,7.59999991878867
6120.187,999999999.839054,11740103.6228278,1.59999991878867,2500,7.59999991878867
6181.464,1000000000,11740105.8093374,1.59999991878867,2500,7.59999991878867
6240.803,999999999.850514,11740107.4709698,1.59999991878867,2500,7.59999991878867
6300.411,1000000000,11740108.7950475,1.59999991878867,2500,7.59999991878867
6361.005,1000000000,11740111.3147758,1.59999991878867,2500,7.59999991878867
6421.315,1000000000,11740113.2403618,1.59999991878867,2500,7.59999991878867
6481.002,999999999.639414,11740115.162241,1.59999991878867,2500,7.59999991878867
6540.722,999999999.886812,11740117.4835958,1.59999991878867,2500,7.59999991878867
6601.587,999999999.821592,11740120.234741,1.59999991878867,2500,7.59999991878867
6661.187,999768504.267975,11838615.400391,1.78332658183434,3000,7.78332658183435
6720.286,998781578.732892,12429606.9248489,2.76831247978173,3000,8.76831247978173
6780.783,997784153.211377,13034574.4009784,3.77409274781099,3500,9.774092747811
6841.23,997240181.608228,13639044.9537805,4.63999988630414,3500,10.6399998863041
6900.229,997830165.965347,14229032.3503784,4.63999988630414,3500,10.6399998863041
6961.47,998442573.106285,14841441.3001112,4.63999988630414,3500,10.6399998863041
7021.685,999044725.361527,15443595.7064203,4.63999988630414,3500,10.6399998863041
7080.612,999633993.094565,16032865.3748802,4.63999988630414,3500,10.6399998863041
7140.079,1000000000,16398874.172561,4.63999988630414,3500,10.6399998863041
7201.674,1000000000,16398876.9511534,4.63999988630414,3500,10.6399998863041
7260.175,999999999.778823,16398879.1830152,4.63999988630414,3500,10.6399998863041
7321.22,1000000000,16398881.2398218,4.63999988630414,3500,10.6399998863041
7381.197,1000000000,16398883.7691025,4.63999988630414,3500,10.6399998863041
7440.709,1000000000,16398885.3123524,4.63999988630414,3500,10.6399998863041
7502.002,999999999.757433,16398888.0595483,4.63999988630414,3500,10.6399998863041
7561.831,1000000000,16398890.3860724,4.63999988630414,3500,10.6399998863041
7622.105,1000000000,16398892.3136842,4.63999988630414,3500,10.6399998863041
7680.371,1000000000,16398893.3462138,4.63999988630414,3500,10.6399998863041
7742.093,1000000000,16398895.3002928,4.63999988630414,3500,10.6399998863041
7800.142,999999999.814955,16398896.6294521,4.63999988630414,3500,10.6399998863041
7861.01,999753177.461313,16501982.1870492,4.83439220457108,4000,10.8343922045711
7920.939,998756161.748525,17101279.099004,5.83322041534856,4000,11.8332204153486
7980.036,998660291.640016,17692236.6714642,0.290814726440717,4500,12.3130642637918
8040.971,997640979.79237,18301595.7427189,1.30641320312403,4500,13.3286627404751
8101.295,997818227.294957,18904838.0452559,1.65775031646854,4500,13.6799998538196
8160.99,998415168.57025,19501784.0850518,1.65775031646854,4500,13.6799998538196
8220,999005262.806328,20091882.4327157,1.65775031646854,4500,13.6799998538196
8280.547,999610729.754032,20697354.4871972,1.65775031646854,4500,13.6799998538196
8340.224,999999999.813613,21086629.1092046,1.65775031646854,4500,13.6799998538196
8400.988,999999999.891165,21086636.338703,1.65775031646854,4500,13.6799998538196
8461.365,999999999.574094,21086641.2620823,1.65775031646854,4500,13.6799998538196
