time,battery,totalGenerated,spareModules,totalDirt,totalModules
0,10000000,0,0,0,0
60.35916,9999999.90670426,8.58391698263586,0,0,0
121.6392,10000000,9.88938571326435,0,0,0
180.6069,9999999.91933966,12.4661706127226,0,0,0
240.8865,9999999.86424385,15.1738767120987,0,0,0
300.8316,9999999.88058088,18.0059343073517,0,0,0
360.4385,10000000,20.7975050359964,0,0,0
421.1842,9999999.87933671,23.2948504369706,0,0,0
480.6899,9182868.76510062,390923.057992751,1.22413534582505,1000,1.22413534582505
540.9584,9461041.6374896,993608.197768027,1.51999998375773,1000,1.51999998375773
600.9301,10000000,1532568.90319334,1.51999998375773,1000,1.51999998375773
660.6113,10000000,1532571.93412017,1.51999998375773,1000,1.51999998375773
721.258,10000000,1532573.76703884,1.51999998375773,1000,1.51999998375773
780.2386,9999999.91328219,1532575.79732426,1.51999998375773,1000,1.51999998375773
840.6627,10000000,1532578.14401029,1.51999998375773,1000,1.51999998375773
900.2121,9999999.91334963,1532581.11802915,1.51999998375773,1000,1.51999998375773
960.0248,9999999.91969558,1532583.62056882,1.51999998375773,1000,1.51999998375773
1021.925,10000000,1532586.82730106,1.51999998375773,1000,1.51999998375773
1080.19,9999999.78449049,1532589.49650373,1.51999998375773,1000,1.51999998375773
1140.909,10000000,1532591.97465493,1.51999998375773,1000,1.51999998375773
1200.185,8964994.16416575,2017731.57066496,3.03999996751547,2000,3.03999996751547
1260.433,9567473.12078353,2620213.1152788,3.03999996751547,2000,3.03999996751547
1320.37,10000000,3052742.07711793,3.03999996751547,2000,3.03999996751547
1380.76,10000000,3052744.1632302,3.03999996751547,2000,3.03999996751547
1441.491,10000000,3052746.43948236,3.03999996751547,2000,3.03999996751547
1500.863,10000000,3052748.25517588,3.03999996751547,2000,3.03999996751547
1561.798,9999999.77995243,3052749.32578552,3.03999996751547,2000,3.03999996751547
1620.012,10000000,3052750.93997871,3.03999996751547,2000,3.03999996751547
1680.944,9999999.85646949,3052753.06710453,3.03999996751547,2000,3.03999996751547
1740.839,10000000,3052755.1833579,3.03999996751547,2000,3.03999996751547
1800.746,9999999.84505665,3052756.99137167,3.03999996751547,2000,3.03999996751547
1860.97,10000000,3052759.21999617,3.03999996751547,2000,3.03999996751547
1920.694,8973485.96420095,3547229.1023353,4.5599999512732,3500,4.5599999512732
1980.842,9574963.31038942,4148708.08549913,4.5599999512732,3500,4.5599999512732
2040.765,10000000,4573747.16121766,4.5599999512732,3500,4.5599999512732
2100.825,10000000,4573748.5213729,4.5599999512732,3500,4.5599999512732
2161.471,9999999.82019258,4573750.54710132,4.5599999512732,3500,4.5599999512732
2220.933,10000000,4573753.42649604,4.5599999512732,3500,4.5599999512732
2281.195,10000000,4573755.89692518,4.5599999512732,3500,4.5599999512732
2340.371,10000000,4573757.91986573,4.5599999512732,3500,4.5599999512732
2400.767,9999999.87732491,4573760.11646128,4.5599999512732,3500,4.5599999512732
2461.1,10000000,4573762.35905273,4.5599999512732,3500,4.5599999512732
2520.871,10000000,4573765.26977727,4.5599999512732,3500,4.5599999512732
2581.156,10000000,4573767.35854851,4.5599999512732,3500,4.5599999512732
2640.543,9103019.22465544,5004683.45325586,5.90560055144225,4500,5.90560055144225
2701.031,9527981.25488327,5609556.55377504,0.0799999350309363,4500,6.07999993503094
2760.375,10000000,6081578.0464158,0.0799999350309363,4500,6.07999993503094
2820.378,10000000,6081580.06773761,0.0799999350309363,4500,6.07999993503094
2880.706,10000000,6081582.55790528,0.0799999350309363,4500,6.07999993503094
2940.81,10000000,6081584.66243987,0.0799999350309363,4500,6.07999993503094
3001.136,9999999.83912232,6081586.82370592,0.0799999350309363,4500,6.07999993503094
3060.091,9999999.83114103,6081588.26143589,0.0799999350309363,4500,6.07999993503094
3121.613,10000000,6081592.13377938,0.0799999350309363,4500,6.07999993503094
3180.446,10000000,6081594.56657823,0.0799999350309363,4500,6.07999993503094
3240.001,10000000,6081596.24145998,0.0799999350309363,4500,6.07999993503094
3300.592,10000000,6081598.89998523,0.0799999350309363,4500,6.07999993503094
3362.501,9125098.27794049,6487859.47096945,1.37824201338624,5000,7.37824201338625
3421.438,9365458.19787618,7077227.29337813,1.59999991878867,5000,7.59999991878867
3480.15,9952573.90472671,7664345.13879419,1.59999991878867,5000,7.59999991878867
3540.193,10000000,7711774.27882436,1.59999991878867,5000,7.59999991878867
3600.48,10000000,7711776.38488168,1.59999991878867,5000,7.59999991878867
3660.095,10000000,7711778.41443147,1.59999991878867,5000,7.59999991878867
3721.095,10000000,7711781.00411101,1.59999991878867,5000,7.59999991878867
3780.58,10000000,7711783.91291451,1.59999991878867,5000,7.59999991878867
3841.871,10000000,7711785.99070822,1.59999991878867,5000,7.59999991878867
3900.586,10000000,7711788.77132802,1.59999991878867,5000,7.59999991878867
3961.534,10000000,7711791.54960856,1.59999991878867,5000,7.59999991878867
4020.41,9016317.78326158,8238770.49568536,3.1199999025464,6000,9.1199999025464
4080.704,8861293.73471993,8841709.64363458,3.88806502991343,7000,9.88806502991343
4141.146,8722156.22922725,9446132.99790266,4.63999988630414,7000,10.6399998863041
4200.792,9318611.43251501,10042590.4554451,4.63999988630414,7000,10.6399998863041
4260.796,9918654.21443137,10642635.7478225,4.63999988630414,7000,10.6399998863041
4323.096,9999999.66793472,10723982.7532071,4.63999988630414,7000,10.6399998863041
4380.039,9999999.89345238,10723984.3256919,4.63999988630414,7000,10.6399998863041
4440.858,9999999.80470065,10723985.8128481,4.63999988630414,7000,10.6399998863041
4500.507,10000000,10723987.6585476,4.63999988630414,7000,10.6399998863041
4560.231,10000000,10723989.0466474,4.63999988630414,7000,10.6399998863041
4620.422,10000000,10723990.6611292,4.63999988630414,7000,10.6399998863041
4681.087,10000000,10723992.1272394,4.63999988630414,7000,10.6399998863041
4740.391,9206792.10753444,11097537.8030907,5.8223083627069,8000,11.8223083627069
4800.921,8897033.36879681,11702845.5979,0.586821158814243,8500,12.6105843825353
4860.056,8428240.10709412,12294192.3338543,1.65623663009858,8500,13.6799998538196
4920.952,9037193.96839314,12903150.1329313,1.65623663009858,8500,13.6799998538196
4980.356,9631235.55831236,13497195.0966488,1.65623663009858,8500,13.6799998538196
5040.796,9999999.70087609,13865963.106139,1.65623663009858,8500,13.6799998538196
5101.973,10000000,13865967.6482046,1.65623663009858,8500,13.6799998538196
5160.678,9999999.88784396,13865971.6179495,1.65623663009858,8500,13.6799998538196
5220.986,9999999.87813571,13865976.7791095,1.65623663009858,8500,13.6799998538196
5280.825,10000000,13865982.4667771,1.65623663009858,8500,13.6799998538196
5341.916,9999999.79931488,13865987.091369,1.65623663009858,8500,13.6799998538196
5401.161,9821493.02961521,13918800.3024009,1.89063655969224,9000,13.9143997834133
5460.71,8630502.50852644,14514293.7060741,3.70093648751436,9500,15.7246997112354
5521.916,8251630.81359112,15126350.6742862,4.69623659761405,9500,16.7199998213351
5581.02,8842662.15660889,15717385.9765676,4.69623659761405,9500,16.7199998213351
5641.508,9447540.42837876,16322267.5171044,4.69623659761405,9500,16.7199998213351
5700.865,10000000,16874731.7952653,4.69623659761405,9500,16.7199998213351
5760.378,9999999.76700184,16874735.7116432,4.69623659761405,9500,16.7199998213351
