time,battery,totalGenerated,spareModules,totalDirt,totalModules
0,1000000000,0,0,0,0
61.2767,999999999.53858,7.89572715759277,0,0,0
122.7058,999999999.637438,11.3385165929794,0,0,0
181.3566,1000000000,13.9218046665192,0,0,0
242.6684,999999999.640619,14.8874413967133,0,0,0
301.7116,1000000000,17.8508168458939,0,0,0
362.3425,999999999.745045,18.8945882320404,0,0,0
420.8322,999999999.847143,21.8270268440247,0,0,0
481.5593,1000000000,24.4082109928131,0,0,0
542.5031,1000000000,25.6168568134308,0,0,0
603.3563,1000000000,28.1209573745728,0,0,0
663.3275,1000000000,29.73348736763,0,0,0
720.2516,1000000000,31.0379681587219,0,0,0
783.7961,999415789.79717,259207.665531278,0.46854651711466,500,0.46854651711466
841.6503,998581682.505742,837748.531906247,1.43278131775463,500,1.43278131775463
902.335,999081003.759423,1444596.0720464,1.51999998375773,500,1.51999998375773
961.4604,999672255.745772,2035850.87856495,1.51999998375773,500,1.51999998375773
1023.014,1000000000,2363597.57686114,1.51999998375773,500,1.51999998375773
1082.266,1000000000,2363599.77197683,1.51999998375773,500,1.51999998375773
1141.66,1000000000,2363602.02028656,1.51999998375773,500,1.51999998375773
1200.857,999051471.725808,2790784.80436707,2.28428268182217,1000,2.28428268182217
1260.937,998112655.896627,3391585.24825478,3.28561677921505,1500,3.28561677921505
1321.84,997266521.970993,4000616.9028511,4.30066956145447,1500,4.30066956145447
1382.113,997503798.670739,4603345.77753448,4.5599999512732,1500,4.5599999512732
1441.459,997583159.73899,5196805.75206184,4.84560930680407,2000,4.84560930680407
1500.481,996661362.140436,5787027.50756645,5.82931225646485,2000,5.82931225646485
1561.53,996912498.577057,6397518.18253899,6.07999993503094,2000,6.07999993503094
1621.629,997513480.052206,6998501.72474289,6.07999993503094,2000,6.07999993503094
1680.864,998105834.318422,7590857.8891983,6.07999993503094,2000,6.07999993503094
1741.713,998714319.377326,8199345.00887299,6.07999993503094,2000,6.07999993503094
1801.039,999307578.279293,8792605.58679008,6.07999993503094,2000,6.07999993503094
1861.031,999907498.206962,9392528.35466766,6.07999993503094,2000,6.07999993503094
1922.576,1000000000,9485031.85923564,6.07999993503094,2000,6.07999993503094
1981.244,999999999.644358,9485032.69612646,6.07999993503094,2000,6.07999993503094
2042.632,1000000000,9485035.23218417,6.07999993503094,2000,6.07999993503094
2102.382,998870674.9656,10024207.4524143,7.02546431863874,2500,7.02546431863874
2162.472,998758765.427139,10625103.4544685,7.59999991878867,2500,7.59999991878867
2221.744,999351486.07868,11217826.9528129,7.59999991878867,2500,7.59999991878867
2280.572,999939758.332597,11806101.1432388,7.59999991878867,2500,7.59999991878867
2343.133,1000000000,11866346.2624588,7.59999991878867,2500,7.59999991878867
2403.084,1000000000,11866349.8434876,7.59999991878867,2500,7.59999991878867
2461.246,999049950.994664,12285776.2357899,8.36081867296989,3000,8.36081867296989
2523.215,997899601.770037,12905462.0883175,9.39362845219144,3500,9.39362845219144
2580.562,997292698.206472,13478931.2669941,10.3494104397961,3500,10.3494104397961
2643.506,997569001.603882,14108378.2515236,10.6399998863041,3500,10.6399998863041
2702.244,998156377.421106,14695755.5279442,10.6399998863041,3500,10.6399998863041
2763.615,997180073.331692,15309465.3532215,11.545951243274,4000,11.545951243274
2821.109,997002497.390704,15884402.0459362,12.1599998700619,4000,12.1599998700619
2882.169,997613100.655814,16495007.2464653,12.1599998700619,4000,12.1599998700619
2942.125,998212655.760687,17094564.9478146,12.1599998700619,4000,12.1599998700619
3001.412,998805524.854518,17687436.9225212,12.1599998700619,4000,12.1599998700619
3060.429,999395688.438077,18277603.1634518,12.1599998700619,4000,12.1599998700619
3121.35,999999999.791432,18881915.9474105,12.1599998700619,4000,12.1599998700619
3181.94,1000000000,18881918.8793954,12.1599998700619,4000,12.1599998700619
3240.357,1000000000,18881922.1610576,12.1599998700619,4000,12.1599998700619
3302.365,1000000000,18881924.1295049,12.1599998700619,4000,12.1599998700619
3360.384,998923541.639685,19395645.4835126,13.067744780507,4500,13.067744780507
3420.26,998758871.083689,19994405.9632013,13.6799998538196,4500,13.6799998538196
3480.728,999363547.700335,20599085.4046533,13.6799998538196,4500,13.6799998538196
3541.474,999971002.963539,21206543.1449602,13.6799998538196,4500,13.6799998538196
3602.326,999999999.531468,21235541.3644729,13.6799998538196,4500,13.6799998538196
3660.783,1000000000,21235543.3663808,13.6799998538196,4500,13.6799998538196
3720.786,998939213.296578,21740224.6518482,14.5604642283036,5000,14.5604642283036
3781.413,998049490.613345,22346494.2498554,15.570913582783,5500,15.570913582783
3843.211,997197958.590283,22964471.4792122,16.6008756566508,5500,16.6008756566508
3905.108,997667685.691412,23583442.8222526,16.7199998213351,5500,16.7199998213351
3961.213,998228736.580538,24144496.7921127,16.7199998213351,5500,16.7199998213351
4022.026,997334996.497295,24752619.3054069,17.554367025383,6000,17.554367025383
4081.654,997060948.510243,25348905.4055561,18.2399998050928,6000,18.2399998050928
4141.927,997663674.670508,25951635.2696766,18.2399998050928,6000,18.2399998050928
4202.408,998268478.972557,26556443.5203422,18.2399998050928,6000,18.2399998050928
4260.374,998848134.79483,27136101.0690082,18.2399998050928,6000,18.2399998050928
4323.315,999477549.88382,27765519.221579,18.2399998050928,6000,18.2399998050928
4380.554,1000000000,28287970.5316361,18.2399998050928,6000,18.2399998050928
4442.054,1000000000,28287972.2405849,18.2399998050928,6000,18.2399998050928
4502.351,1000000000,28287974.7495744,18.2399998050928,6000,18.2399998050928
4561.009,999999999.606978,28287976.0881461,18.2399998050928,6000,18.2399998050928
4621.426,999017077.440658,28743218.3884823,19.0389785107723,6500,19.0389785107723
4683.276,998709534.407073,29361719.752475,19.7599997888505,6500,19.7599997888505
4741.031,999287086.41082,29939274.1440976,19.7599997888505,6500,19.7599997888505
4801.434,999891109.620345,30543299.1944993,19.7599997888505,6500,19.7599997888505
4862.185,1000000000,30652190.9876555,19.7599997888505,6500,19.7599997888505
4922.907,1000000000,30652192.7867428,19.7599997888505,6500,19.7599997888505
4985.096,998908187.318119,31164917.3885072,20.6514081108352,7000,20.6514081108352
5041.529,998648303.567508,31729246.1090769,21.2799997726083,7000,21.2799997726083
5102.583,997866114.325219,32339784.747907,22.0537362980444,7500,22.0537362980444
5162.521,997509595.464978,32939163.3599485,22.799999756366,7500,22.799999756366
5222.941,998113797.316664,33543366.1382879,22.799999756366,7500,22.799999756366
5280.165,998105134.433251,34115605.1533903,23.1227221793099,8000,23.1227221793099
5341.218,997168820.997628,34726136.9698728,24.1402752314202,8000,24.1402752314202
5400.928,997542485.419811,35323234.3214239,24.3199997401237,8000,24.3199997401237
5462.003,998153236.75523,35933987.8636087,24.3199997401237,8000,24.3199997401237
5520.899,998742197.319836,36522950.4805292,24.3199997401237,8000,24.3199997401237
5581.979,999352992.353149,37133747.0870699,24.3199997401237,8000,24.3199997401237
5640.813,999941336.834361,37722093.1261266,24.3199997401237,8000,24.3199997401237
5701.612,999999999.677444,37780758.154012,24.3199997401237,8000,24.3199997401237
5763.296,1000000000,37780761.0871853,24.3199997401237,8000,24.3199997401237
5822.863,1000000000,37780762.7179383,24.3199997401237,8000,24.3199997401237
5882.574,999629043.373177,37916394.4206011,24.6014356836279,8500,24.6014356836279
5941.557,998706890.315462,38506221.5027583,25.5844808443603,8500,25.5844808443603
6000.066,998932275.439584,39091311.1433756,25.8399997238815,8500,25.8399997238815
6063.566,999567269.583227,39726307.63147,25.8399997238815,8500,25.8399997238815
6121.819,1000000000,40159039.7596508,25.8399997238815,8500,25.8399997238815
6183.285,1000000000,40159041.0778534,25.8399997238815,8500,25.8399997238815
6241.352,999384494.403186,40398312.474732,26.3148739775271,9000,26.3148739775271
6303.382,998525383.331243,41018616.4774939,27.3487140071639,9000,27.3487140071639
6360.214,998832237.638061,41586939.1467615,27.4616145568856,9500,27.4616145568856
6421.77,997756930.351001,42202490.5266806,28.4875335482594,9500,28.4875335482594
6483.288,997842480.479513,42817679.5759245,28.8799996913969,9500,28.8799996913969
6540.876,998418359.25889,43393560.3060766,28.8799996913969,10000,28.8799996913969
6600.901,997315743.139713,43993804.8019453,29.8804072087357,10000,29.8804072087357
6661.078,997271920.66351,44595579.6375319,30.3999996751547,10000,30.3999996751547
6720.696,997868099.635091,45191759.5043226,30.3999996751547,10000,30.3999996751547
6781.868,998479815.625751,45803478.0886217,30.3999996751547,10000,30.3999996751547
6843.506,999096196.734774,46419861.1142679,30.3999996751547,10000,30.3999996751547
6902.656,999687690.664793,47011357.2099253,30.3999996751547,10000,30.3999996751547
6962.618,1000000000,47323669.8195239,30.3999996751547,10000,30.3999996751547
7021.726,1000000000,47323671.1929957,30.3999996751547,10000,30.3999996751547
7082.951,999999999.673454,47323673.0144366,30.3999996751547,10000,30.3999996751547
7140.612,1000000000,47323674.4217284,30.3999996751547,10000,30.3999996751547
7200.191,998926517.692139,47832258.0052426,31.2882319218423,10500,31.2882319218423
7260.681,998733779.093701,48437153.283458,31.9199996589124,10500,31.9199996589124
7320.081,999327781.962694,49031156.6961815,31.9199996589124,10500,31.9199996589124
7381.151,999938479.745492,49641856.0637047,31.9199996589124,10500,31.9199996589124
7442.713,999999999.689455,49703377.9065607,31.9199996589124,10500,31.9199996589124
7502.673,999897796.724105,49703380.6573396,31.9767790687422,11000,31.9767790687422
7561.442,998828197.585542,50291078.5531049,32.9562755854023,11000,32.9562755854023
7621.209,998277369.491821,50888746.7884068,33.7276118971015,11500,33.7276118971015
7680.971,997351627.526663,51486366.3577085,34.7236445367225,11500,34.7236445367225
7740.838,997614684.128806,52085035.7054715,34.9599996264279,11500,34.9599996264279
7804.226,998248560.194314,52718913.5598187,34.9599996264279,11500,34.9599996264279
7863.007,997668654.273023,53306721.5489392,35.6087287995843,12000,35.6087287995843
7923.176,997087192.349132,53908408.7490087,36.4799996101856,12000,36.4799996101856
7985.282,997708255.000738,54529473.2855802,36.4799996101856,12000,36.4799996101856
8050.35,998358928.582794,55180150.1082425,36.4799996101856,12000,36.4799996101856
8106.714,998922565.40565,55743790.0160794,36.4799996101856,12000,36.4799996101856
8166.481,999520243.646392,56341469.19241,36.4799996101856,12000,36.4799996101856
8223.698,999999999.222467,56821227.0073802,36.4799996101856,12000,36.4799996101856
8280.513,1000000000,56821229.3847361,36.4799996101856,12000,36.4799996101856
8346.612,1000000000,56821230.423367,36.4799996101856,12000,36.4799996101856
8402.6,1000000000,56821232.7450058,36.4799996101856,12000,36.4799996101856
8460.032,1000000000,56821234.3880812,36.4799996101856,12500,36.4799996101856
8522.496,998799790.651542,57394443.4497038,37.5210586843648,12500,37.5210586843648
8581.19,998802230.333924,57981388.4350935,37.9999995939433,12500,37.9999995939433
8641.958,999409900.198715,58589063.0659739,37.9999995939433,12500,37.9999995939433
8700.643,999996738.145127,59175906.8808237,37.9999995939433,12500,37.9999995939433
8760.305,999999999.872661,59179174.5745589,37.9999995939433,12500,37.9999995939433
8820.007,999999999.79997,59179180.4720703,37.9999995939433,12500,37.9999995939433
8880.598,999817189.911113,59218216.5294093,38.1232441725871,13000,38.1232441725871
8940.465,998790312.743262,59816888.3901042,39.1210306312393,13000,39.1210306312393
9000.188,997733542.365875,60414106.8499488,40.1163947550825,13500,40.1163947550825
9060.663,997156987.067857,61018871.4998168,41.0399995614588,13500,41.0399995614588
9122.846,997778811.052669,61640697.341482,41.0399995614588,13500,41.0399995614588
9182.789,997288339.468699,62240129.1923922,41.6455001589746,14000,41.6455001589746
9241.752,996630099.427732,62829751.705448,42.5599995452166,14000,42.5599995452166
9301.904,997231629.483977,63431283.3576602,42.5599995452166,14000,42.5599995452166
9361.149,997824070.727131,64023726.5651625,42.5599995452166,14000,42.5599995452166
